freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.973e+01,1.428e+01,5.309e+02,5.650e+02
1.5,2.591e+01,2.871e+01,3.134e+02,3.681e+02
3.0,2.242e+01,3.051e+01,3.363e+01,8.656e+01
4.6,2.267e+01,2.989e+01,2.818e+02,3.344e+02
6.1,2.120e+01,2.757e+01,1.054e+03,1.103e+03
7.6,2.386e+01,2.957e+01,1.773e+03,1.826e+03
9.1,2.324e+01,2.908e+01,2.596e+03,2.648e+03
10.7,2.716e+01,2.880e+01,3.529e+03,3.585e+03
12.2,2.658e+01,3.003e+01,4.638e+03,4.694e+03
13.7,2.768e+01,3.341e+01,5.960e+03,6.021e+03
15.2,2.969e+01,3.089e+01,7.604e+03,7.664e+03
16.7,2.843e+01,2.742e+01,9.573e+03,9.629e+03
18.3,3.207e+01,2.764e+01,1.181e+04,1.187e+04
19.8,3.933e+01,2.857e+01,1.457e+04,1.464e+04
21.3,4.345e+01,3.068e+01,1.651e+04,1.659e+04
22.8,4.182e+01,2.801e+01,1.743e+04,1.750e+04
24.4,3.838e+01,2.912e+01,1.990e+04,1.996e+04
25.9,4.071e+01,3.384e+01,2.392e+04,2.399e+04
27.4,4.568e+01,3.705e+01,2.885e+04,2.893e+04
28.9,4.807e+01,3.889e+01,3.479e+04,3.487e+04
30.4,5.018e+01,3.506e+01,3.877e+04,3.885e+04
32.0,5.070e+01,3.080e+01,4.264e+04,4.272e+04
33.5,5.362e+01,3.527e+01,4.834e+04,4.843e+04
35.0,4.956e+01,4.918e+01,5.609e+04,5.619e+04
36.5,4.148e+01,6.437e+01,6.668e+04,6.679e+04
38.1,4.481e+01,6.259e+01,8.048e+04,8.058e+04
39.6,6.142e+01,6.354e+01,9.663e+04,9.676e+04
41.1,1.044e+02,7.705e+01,1.156e+05,1.158e+05
42.6,1.749e+02,1.124e+02,1.407e+05,1.410e+05
44.1,3.776e+02,2.125e+02,1.763e+05,1.769e+05
45.7,1.470e+03,2.691e+02,2.240e+05,2.257e+05
47.2,4.494e+03,6.441e+02,2.829e+05,2.880e+05
48.7,1.013e+04,2.759e+03,3.589e+05,3.718e+05
50.2,2.061e+04,7.867e+03,4.992e+05,5.277e+05
51.8,3.179e+04,1.329e+04,7.265e+05,7.716e+05
53.3,3.878e+04,1.647e+04,1.040e+06,1.095e+06
54.8,4.299e+04,2.028e+04,1.467e+06,1.531e+06
56.3,3.982e+04,2.494e+04,1.990e+06,2.055e+06
57.8,2.095e+04,2.890e+04,2.450e+06,2.500e+06
59.4,1.004e+04,2.851e+04,2.303e+06,2.342e+06
60.9,7.571e+03,2.168e+04,1.712e+06,1.742e+06
62.4,6.190e+03,1.449e+04,1.145e+06,1.165e+06
63.9,4.581e+03,1.055e+04,7.105e+05,7.257e+05
65.4,3.732e+03,7.251e+03,4.732e+05,4.842e+05
