freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.122e+02,2.862e+02,1.356e+01,4.120e+02
1.5,7.189e+01,1.708e+02,2.368e+01,2.664e+02
3.0,1.306e+01,2.133e+01,2.157e+01,5.596e+01
4.6,1.367e+01,2.910e+02,2.194e+01,3.266e+02
6.1,1.407e+01,1.163e+03,2.007e+01,1.197e+03
7.6,1.300e+01,2.012e+03,2.040e+01,2.045e+03
9.1,1.316e+01,3.034e+03,2.328e+01,3.071e+03
10.7,1.246e+01,4.484e+03,2.293e+01,4.519e+03
12.2,1.308e+01,6.016e+03,2.642e+01,6.055e+03
13.7,1.374e+01,7.125e+03,2.867e+01,7.168e+03
15.2,1.489e+01,9.352e+03,2.350e+01,9.391e+03
16.7,1.733e+01,1.244e+04,2.889e+01,1.249e+04
18.3,2.929e+01,1.587e+04,3.005e+01,1.593e+04
19.8,4.706e+01,1.997e+04,3.219e+01,2.005e+04
21.3,6.682e+01,2.559e+04,4.981e+01,2.571e+04
22.8,1.020e+02,3.329e+04,5.629e+01,3.344e+04
24.4,2.047e+02,4.426e+04,3.882e+01,4.450e+04
25.9,4.574e+02,6.068e+04,3.158e+01,6.117e+04
27.4,1.052e+03,8.571e+04,4.686e+01,8.681e+04
28.9,1.978e+03,1.169e+05,1.037e+02,1.190e+05
30.4,4.848e+03,1.554e+05,1.097e+02,1.604e+05
32.0,1.551e+04,1.960e+05,6.605e+01,2.116e+05
33.5,3.186e+04,2.066e+05,3.065e+02,2.388e+05
35.0,4.550e+04,1.920e+05,8.879e+02,2.384e+05
36.5,6.419e+04,1.873e+05,1.379e+03,2.529e+05
38.0,9.573e+04,1.902e+05,1.902e+03,2.878e+05
39.6,1.208e+05,1.480e+05,2.666e+03,2.714e+05
41.1,1.306e+05,9.310e+04,3.631e+03,2.273e+05
42.6,1.321e+05,7.288e+04,4.999e+03,2.100e+05
44.1,1.390e+05,9.256e+04,6.634e+03,2.382e+05
